itemname,category,year,month,itemunit,itemvalue
一般垃圾量,廢棄物管理,109,9,公噸,317443
一般廢棄物產生量,廢棄物管理,109,9,公噸,796977
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,109,9,公噸/平方公里/月,2.97
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,109,9,ug/m3,0.01
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,109,9,ug/m3,42.96
環保署空氣品質一般測站臭氧濃度,空氣品質保護,109,9,ppm,0.068
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,109,9,ppm,0.01
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,109,9,ppm,0.31
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,109,9,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,109,9,ug/m3,28.97
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,109,9,ug/m3,12.73
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,109,9,%,0
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,109,9,%,0
AQI>100站日數比率,空氣品質保護,109,9,%,23.11
環保專業人員合格證書有效張數,其他環保統計,109,10,張,235862
環保人員訓練人次,其他環保統計,109,10,人次,1076
環保署環境影響評估報告書完成審查件數,其他環保統計,109,10,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,109,10,件,2
環保署環境影響說明書完成審查件數,其他環保統計,109,10,件,1
環保署環境影響說明書應處理件數,其他環保統計,109,10,件,13
污染源稽查實收罰款金額,其他環保統計,109,10,千元,98238
污染源稽查罰款次數,其他環保統計,109,10,次,21983
污染源稽查次數,其他環保統計,109,10,次,170179
其他對象之公害陳情案件數,公害陳情,109,10,件,4672
一般居民之公害陳情案件數,公害陳情,109,10,件,8918
交通工具之公害陳情案件數,公害陳情,109,10,件,152
營建工程之公害陳情案件數,公害陳情,109,10,件,2761
工業之公害陳情案件數,公害陳情,109,10,件,3650
商業之公害陳情案件數,公害陳情,109,10,件,4962
機關團體學校醫院之公害陳情案件數,公害陳情,109,10,件,247
其他污染公害陳情案件數,公害陳情,109,10,件,89
異味污染物公害陳情案件數,公害陳情,109,10,件,8265
廢棄物及環境衛生公害陳情案件數,公害陳情,109,10,件,6028
噪音公害陳情案件數,公害陳情,109,10,件,9309
水污染公害陳情案件數,公害陳情,109,10,件,552
空氣污染公害陳情案件數,公害陳情,109,10,件,1119
公害陳情案件總數,公害陳情,109,10,件,25362
自來水檢驗不合格率,環境衛生及毒化物管理,109,10,%,0.1
垃圾焚化廠焚化(處理)量,廢棄物管理,109,10,公噸,488734
垃圾焚化廠進廠量,廢棄物管理,109,10,公噸,530275
一般廢棄物回收率,廢棄物管理,109,10,%,59.96
衛生掩埋量,廢棄物管理,109,10,公噸,8055
焚化量,廢棄物管理,109,10,公噸,297167
回收再利用量,廢棄物管理,109,10,公噸,490865
一般廢棄物處理量,廢棄物管理,109,10,公噸,796087
平均每人每日廚餘回收量,廢棄物管理,109,10,公斤,0.062
平均每人每日一般廢棄物產生量,廢棄物管理,109,10,公斤,1.121
廚餘回收量,廢棄物管理,109,10,公噸,45066
資源回收量,廢棄物管理,109,10,公噸,445799
一般垃圾量,廢棄物管理,109,10,公噸,327809
一般廢棄物產生量,廢棄物管理,109,10,公噸,818674
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,109,10,公噸/平方公里/月,3.49
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,109,10,ug/m3,0.02
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,109,10,ug/m3,58.2
環保署空氣品質一般測站臭氧濃度,空氣品質保護,109,10,ppm,0.063
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,109,10,ppm,0.009
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,109,10,ppm,0.29
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,109,10,ppm,0.002
