年月,區域別,里數,鄰數,戶數,性別,人口數,遷入人數,遷出人數,出生人數,死亡人數,結婚對數,離婚對數,平地原住民,山地原住民,年齡14歲以下人數,年齡15至64歲人數,年齡65歲以上人數
"10604","北區","45","790","56028","男","73492","203","215","54","51","74","24","340","301","","",""
"10604","北區","45","790","56028","女","76643","237","265","56","31","74","24","384","422","","",""
"10604","香山","24","375","26860","男女合計","77528","245","231","66","37","27","17","575","461","","",""
"10604","香山","24","375","26860","男","39393","114","105","26","22","27","17","286","188","","",""
"10604","香山","24","375","26860","女","38135","131","126","40","15","27","17","289","273","","",""
"10605","新竹市","122","2186","161520","男女合計","438863","2070","1795","307","243","306","71","1913","2027","","",""
"10605","新竹市","122","2186","161520","男","216853","953","797","159","131","306","71","888","817","","",""
"10605","新竹市","122","2186","161520","女","222010","1117","998","148","112","306","71","1025","1210","","",""
"10605","東區","53","1021","78453","男女合計","211143","1098","846","135","105","136","25","621","829","","",""
"10605","東區","53","1021","78453","男","103951","535","380","72","60","136","25","264","321","","",""
"10605","東區","53","1021","78453","女","107192","563","466","63","45","136","25","357","508","","",""
"10605","北區","45","790","56140","男女合計","150196","643","603","108","87","115","30","720","737","","",""
"10605","北區","45","790","56140","男","73512","273","265","53","41","115","30","339","307","","",""
"10605","北區","45","790","56140","女","76684","370","338","55","46","115","30","381","430","","",""
"10605","香山","24","375","26927","男女合計","77524","329","346","64","51","55","16","572","461","","",""
"10605","香山","24","375","26927","男","39390","145","152","34","30","55","16","285","189","","",""
"10605","香山","24","375","26927","女","38134","184","194","30","21","55","16","287","272","","",""
"10606","新竹市","122","2185","161811","男女合計","439299","1987","1708","384","227","229","84","1927","2051","","",""
"10606","新竹市","122","2185","161811","男","217034","910","780","199","148","229","84","896","829","","",""
"10606","新竹市","122","2185","161811","女","222265","1077","928","185","79","229","84","1031","1222","","",""
"10606","東區","53","1020","78606","男女合計","211429","1044","856","186","88","107","33","633","831","","",""
"10606","東區","53","1020","78606","男","104063","465","391","97","59","107","33","270","322","","",""
"10606","東區","53","1020","78606","女","107366","579","465","89","29","107","33","363","509","","",""
"10606","北區","45","790","56236","男女合計","150304","611","532","119","90","82","36","718","749","","",""
"10606","北區","45","790","56236","男","73534","267","248","63","60","82","36","337","313","","",""
"10606","北區","45","790","56236","女","76770","344","284","56","30","82","36","381","436","","",""
"10606","香山","24","375","26969","男女合計","77566","332","320","79","49","40","15","576","471","","",""
"10606","香山","24","375","26969","男","39437","178","141","39","29","40","15","289","194","","",""
"10606","香山","24","375","26969","女","38129","154","179","40","20","40","15","287","277","","",""
"10607","新竹市","122","2185","161970","男女合計","439435","1782","1757","322","211","172","85","1935","2055","","",""
"10607","新竹市","122","2185","161970","男","217068","826","837","176","131","172","85","901","829","","",""
"10607","新竹市","122","2185","161970","女","222367","956","920","146","80","172","85","1034","1226","","",""
"10607","東區","53","1020","78707","男女合計","211505","900","902","155","77","74","31","633","844","","",""
"10607","東區","53","1020","78701","男","104103","418","417","90","51","74","31","270","327","","",""
"10607","東區","53","1020","78701","女","107402","482","485","65","26","74","31","363","517","","",""
"10607","北區","45","790","56281","男女合計","150278","564","594","98","94","58","32","724","744","","",""
"10607","北區","45","790","56281","男","73504","260","284","49","55","58","32","342","312","","",""
"10607","北區","45","790","56281","女","76774","304","310","49","39","58","32","382","432","","",""
"10607","香山","24","375","26988","男女合計","77652","318","261","69","40","40","22","578","467","","",""
"10607","香山","24","375","26988","男","39461","148","136","37","25","40","22","289","190","","",""
"10607","香山","24","375","26988","女","38191","170","125","32","15","40","22","289","277","","",""
"10608","新竹市","122","2185","162352","男女合計","439747","2263","2096","387","242","142","91","1926","2070","","",""
"10608","新竹市","122","2185","162352","男","217175","1036","968","180","141","142","91","900","836","","",""
"10608","新竹市","122","2185","162352","女","222572","1227","1128","207","101","142","91","1026","1234","","",""
"10608","東區","53","1020","78903","男女合計","211673","1113","1023","181","103","64","36","621","848","","",""
"10608","東區","53","1020","78903","男","104157","505","472","83","62","64","36","268","327","","",""
"10608","東區","53","1020","78903","女","107516","608","551","98","41","64","36","353","521","","",""
"10608","北區","45","790","56395","男女合計","150391","735","656","135","101","53","44","732","750","","",""
"10608","北區","45","790","56395","男","73543","334","295","57","57","53","44","348","317","","",""
"10608","北區","45","790","56395","女","76848","401","361","78","44","53","44","384","433","","",""
"10608","香山","24","375","27054","男女合計","77683","415","417","71","38","25","11","573","472","","",""
"10608","香山","24","375","27054","男","39475","197","201","40","22","25","11","284","192","","",""
"10608","香山","24","375","27054","女","38208","218","216","31","16","25","11","289","280","","",""
"10609","新竹市","122","2185","162832","男女合計","440098","1956","1774","337","168","142","89","1944","2072","","",""
"10609","新竹市","122","2185","162832","男","217366","941","828","182","104","142","89","904","835","","",""
"10609","新竹市","122","2185","162832","女","222732","1015","946","155","64","142","89","1040","1237","","",""
"10609","東區","53","1020","79129","男女合計","211844","972","891","151","61","67","35","633","840","","",""
"10609","東區","53","1020","79129","男","104253","473","424","79","32","67","35","271","322","","",""
"10609","東區","53","1020","79129","女","107591","499","467","72","29","67","35","362","518","","",""
"10609","北區","45","790","56566","男女合計","150494","630","569","124","82","52","39","735","755","","",""
"10609","北區","45","790","56566","男","73589","292","258","68","56","52","39","346","320","","",""
"10609","北區","45","790","56566","女","76905","338","311","56","26","52","39","389","435","","",""
"10609","香山","24","375","27137","男女合計","77760","354","314","62","25","23","15","576","477","","",""
"10609","香山","24","375","27137","男","39524","176","146","35","16","23","15","287","193","","",""
"10609","香山","24","375","27137","女","38236","178","168","27","9","23","15","289","284","","",""
"10610","新竹市","122","2185","162915","男女合計","440409","1375","1241","382","205","280","75","1940","2072","","",""
"10610","新竹市","122","2185","162915","男","217528","623","559","204","106","280","75","898","835","","",""
"10610","新竹市","122","2185","162915","女","222881","752","682","178","99","280","75","1042","1237","","",""
"10610","東區","53","1020","79175","男女合計","212082","726","582","180","86","132","34","631","848","","",""
"10610","東區","53","1020","79175","男","104363","325","269","95","41","132","34","268","326","","",""
"10610","東區","53","1020","79175","女","107719","401","313","85","45","132","34","363","522","","",""
"10610","北區","45","790","56582","男女合計","150501","405","445","126","79","91","24","732","744","","",""
"10610","北區","45","790","56582","男","73601","195","204","68","47","91","24","344","314","","",""
"10610","北區","45","790","56582","女","76900","210","241","58","32","91","24","388","430","","",""
"10610","香山","24","375","27158","男女合計","77826","244","214","76","40","57","17","577","480","","",""
"10610","香山","24","375","27158","男","39564","103","86","41","18","57","17","286","195","","",""
"10610","香山","24","375","27158","女","38262","141","128","35","22","57","17","291","285","","",""
"10611","新竹市","122","2185","162992","男女合計","440717","1533","1399","388","214","248","86","1944","2066","","",""
"10611","新竹市","122","2185","162992","男","217633","669","633","194","125","248","86","903","832","","",""
"10611","新竹市","122","2185","162992","女","223084","864","766","194","89","248","86","1041","1234","","",""
"10611","東區","53","1020","79249","男女合計","212234","779","709","166","84","112","33","631","841","","",""
"10611","東區","53","1020","79249","男","104430","348","314","78","45","112","33","267","323","","",""
"10611","東區","53","1020","79249","女","107804","431","395","88","39","112","33","364","518","","",""
"10611","北區","45","790","56570","男女合計","150572","484","447","134","100","83","39","731","744","","",""
"10611","北區","45","790","56570","男","73594","201","215","71","64","83","39","346","314","","",""
"10611","北區","45","790","56570","女","76978","283","232","63","36","83","39","385","430","","",""
"10611","香山","24","375","27173","男女合計","77911","270","243","88","30","53","14","582","481","","",""
"10611","香山","24","375","27173","男","39609","120","104","45","16","53","14","290","195","","",""
"10611","香山","24","375","27173","女","38302","150","139","43","14","53","14","292","286","","",""
"10612","新竹市","122","2185","162992","男女合計","441132","1607","1348","365","218","312","74","1940","2057","","",""
"10612","新竹市","122","2185","162992","男","217831","720","598","198","126","312","74","902","824","","",""
"10612","新竹市","122","2185","162992","女","223301","887","750","167","92","312","74","1038","1233","","",""
"10612","東區","53","1020","79249","男女合計","212553","887","629","159","99","142","30","629","845","","",""
"10612","東區","53","1020","79249","男","104590","404","274","84","55","142","30","267","323","","",""
"10612","東區","53","1020","79249","女","107963","483","355","75","44","142","30","362","522","","",""
"10612","北區","45","790","56570","男女合計","150636","475","468","139","87","112","30","733","736","","",""
"10612","北區","45","790","56570","男","73639","219","205","80","52","112","30","347","309","","",""
"10612","北區","45","790","56570","女","76997","256","263","59","35","112","30","386","427","","",""
"10612","香山","24","375","27173","男女合計","77943","245","251","67","32","58","14","578","476","","",""
"10612","香山","24","375","27173","男","39602","97","119","34","19","58","14","288","192","","",""
"10612","香山","24","375","27173","女","38341","148","132","33","13","58","14","290","284","","",""
"10701","新竹市","122","2186","163305","男女合計","441639","1703","1359","385","222","276","74","1947","2075","","",""
"10701","新竹市","122","2186","163305","男","218043","764","615","189","126","276","74","904","827","","",""
"10701","新竹市","122","2186","163305","女","223596","939","744","196","96","276","74","1043","1248","","",""
"10701","東區","53","1021","79446","男女合計","212905","887","633","196","98","135","28","629","857","","",""
"10701","東區","53","1021","79446","男","104773","418","275","98","58","135","28","269","327","","",""
"10701","東區","53","1021","79446","女","108132","469","358","98","40","135","28","360","530","","",""
"10701","北區","45","790","56631","男女合計","150719","532","490","126","85","97","26","740","737","","",""
"10701","北區","45","790","56631","男","73639","221","227","55","49","97","26","349","307","","",""
"10701","北區","45","790","56631","女","77080","311","263","71","36","97","26","391","430","","",""
"10701","香山","24","375","27228","男女合計","78015","284","236","63","39","44","20","578","481","","",""
"10701","香山","24","375","27228","男","39631","125","113","36","19","44","20","286","193","","",""
"10701","香山","24","375","27228","女","38384","159","123","27","20","44","20","292","288","","",""
"10702","新竹市","122","2186","163305","男女合計","441817","1264","1161","291","216","176","70","1939","2076","","",""
"10702","新竹市","122","2186","163305","男","218100","569","530","152","134","176","70","903","828","","",""
"10702","新竹市","122","2186","163305","女","223717","695","631","139","82","176","70","1036","1248","","",""
"10702","東區","53","1021","79446","男女合計","213066","647","536","137","87","71","23","627","853","","",""
"10702","東區","53","1021","79446","男","104841","300","247","70","55","71","23","269","328","","",""
"10702","東區","53","1021","79446","女","108225","347","289","67","32","71","23","358","525","","",""
"10702","北區","45","790","56631","男女合計","150735","430","420","92","86","66","25","736","747","","",""
"10702","北區","45","790","56631","男","73638","188","190","50","49","66","25","347","308","","",""
"10702","北區","45","790","56631","女","77097","242","230","42","37","66","25","389","439","","",""
"10702","香山","24","375","27228","男女合計","78016","187","205","62","43","39","22","576","476","","",""
"10702","香山","24","375","27228","男","39621","81","93","32","30","39","22","287","192","","",""
"10702","香山","24","375","27228","女","38395","106","112","30","13","39","22","289","284","","",""
"10703","新竹市","122","2185","163651","男女合計","442315","2349","1931","376","296","224","104","1947","2077","","",""
"10703","新竹市","122","2185","163651","男","218270","1084","921","176","169","224","104","910","827","","",""
"10703","新竹市","122","2185","163651","女","224045","1265","1010","200","127","224","104","1037","1250","","",""
"10703","東區","53","1021","79651","男女合計","213589","1294","832","194","133","110","43","629","859","","",""
"10703","東區","53","1021","79651","男","105068","604","389","85","73","110","43","273","329","","",""
"10703","東區","53","1021","79651","女","108521","690","443","109","60","110","43","356","530","","",""
"10703","北區","45","789","56739","男女合計","150713","684","699","112","119","74","40","736","746","","",""
"10703","北區","45","789","56739","男","73595","316","345","56","70","74","40","347","307","","",""
"10703","北區","45","789","56739","女","77118","368","354","56","49","74","40","389","439","","",""
"10703","香山","24","375","27261","男女合計","78013","371","400","70","44","40","21","582","472","","",""
"10703","香山","24","375","27261","男","39607","164","187","35","26","40","21","290","191","","",""
"10703","香山","24","375","27261","女","38406","207","213","35","18","40","21","292","281","","",""
"10704","新竹市","122","2184","163651","男女合計","442570","1814","1628","297","228","187","75","1953","2084","","",""
"10704","新竹市","122","2184","163651","男","218393","845","749","155","128","187","75","915","830","","",""
"10704","新竹市","122","2184","163651","女","224177","969","879","142","100","187","75","1038","1254","","",""
"10704","東區","53","1020","79651","男女合計","213839","968","738","126","106","82","26","630","868","","",""
"10704","東區","53","1020","79651","男","105194","462","338","63","61","82","26","275","332","","",""
"10704","東區","53","1020","79651","女","108645","506","400","63","45","82","26","355","536","","",""
"10704","北區","45","789","56739","男女合計","150666","546","602","99","90","64","31","739","747","","",""
"10704","北區","45","789","56739","男","73568","250","274","51","54","64","31","348","309","","",""
"10704","北區","45","789","56739","女","77098","296","328","48","36","64","31","391","438","","",""
"10704","香山","24","375","27261","男女合計","78065","300","288","72","32","41","18","584","469","","",""
"10704","香山","24","375","27261","男","39631","133","137","41","13","41","18","292","189","","",""
"10704","香山","24","375","27261","女","38434","167","151","31","19","41","18","292","280","","",""
"10705","新竹市","122","2184","164105","男女合計","443038","2474","2129","336","213","272","101","1972","2093","","",""
"10705","新竹市","122","2184","164105","男","218615","1151","986","170","113","272","101","918","835","","",""
"10705","新竹市","122","2184","164105","女","224423","1323","1143","166","100","272","101","1054","1258","","",""
"10705","東區","53","1020","79898","男女合計","214148","1280","1039","160","92","110","38","640","868","","",""
"10705","東區","53","1020","79898","男","105357","620","489","77","45","110","38","277","336","","",""
"10705","東區","53","1020","79898","女","108791","660","550","83","47","110","38","363","532","","",""
"10705","北區","45","789","56846","男女合計","150766","751","691","121","81","107","37","738","755","","",""
"10705","北區","45","789","56846","男","73597","323","317","67","44","107","37","345","307","","",""
"10705","北區","45","789","56846","女","77169","428","374","54","37","107","37","393","448","","",""
"10705","香山","24","375","27361","男女合計","78124","443","399","55","40","55","26","594","470","","",""
"10705","香山","24","375","27361","男","39661","208","180","26","24","55","26","296","192","","",""
"10705","香山","24","375","27361","女","38463","235","219","29","16","55","26","298","278","","",""
"10706","新竹市","122","2184","164283","男女合計","443351","1861","1657","313","204","213","76","1983","2091","76780","314641","51930"
"10706","新竹市","122","2184","164283","男","218722","843","763","154","127","213","76","924","830","39865","155747","23110"
"10706","新竹市","122","2184","164283","女","224629","1018","894","159","77","213","76","1059","1261","36915","158894","28820"
"10706","東區","53","1020","80010","男女合計","214339","929","803","156","91","92","30","652","865","43082","147322","23935"
"10706","東區","53","1020","80010","男","105440","428","369","82","58","92","30","283","335","22448","72425","10567"
"10706","東區","53","1020","80010","女","108899","501","434","74","33","92","30","369","530","20634","74897","13368"
"10706","北區","45","789","56906","男女合計","150881","616","515","93","79","76","29","738","757","22974","108476","19431"
"10706","北區","45","789","56906","男","73635","280","238","45","49","76","29","345","306","11827","53223","8585"
"10706","北區","45","789","56906","女","77246","336","277","48","30","76","29","393","451","11147","55253","10846"
"10706","香山","24","375","27367","男女合計","78131","316","339","64","34","45","17","593","469","10724","58843","8564"
"10706","香山","24","375","27367","男","39647","135","156","27","20","45","17","296","189","5590","30099","3958"
"10706","香山","24","375","27367","女","38484","181","183","37","14","45","17","297","280","5134","28744","4606"
"10707","新竹市","122","2185","164473","男女合計","443581","1962","1822","318","228","152","102","1991","2098","76787","314692","52102"
"10707","新竹市","122","2185","164473","男","218854","940","847","170","131","152","102","927","838","39868","155796","23190"
"10707","新竹市","122","2185","164473","女","224727","1022","975","148","97","152","102","1064","1260","36919","158896","28912"
"10707","東區","53","1021","80064","男女合計","214333","933","969","153","123","63","37","651","875","43097","147241","23995"
"10707","東區","53","1021","80064","男","105441","465","467","76","73","63","37","284","342","22455","72393","10593"
"10707","東區","53","1021","80064","女","108892","468","502","77","50","63","37","367","533","20642","74848","13402"
"10707","北區","45","789","56997","男女合計","151037","653","532","104","69","56","44","743","754","23005","108526","19506"
"10707","北區","45","789","56997","男","73737","308","230","62","38","56","44","347","306","11853","53262","8622"
"10707","北區","45","789","56997","女","77300","345","302","42","31","56","44","396","448","11152","55264","10884"
"10707","香山","24","375","27412","男女合計","78211","376","321","61","36","33","21","597","469","10685","58925","8601"
"10707","香山","24","375","27412","男","39676","167","150","32","20","33","21","296","190","5560","30141","3975"
"10707","香山","24","375","27412","女","38535","209","171","29","16","33","21","301","279","5125","28784","4626"
"10708","新竹市","122","2185","164784","男女合計","443969","2096","1836","340","212","177","95","2017","2104","76904","314724","52341"
"10708","新竹市","122","2185","164784","男","219035","972","850","176","117","177","95","935","836","39940","155794","23301"
"10708","新竹市","122","2185","164784","女","224934","1124","986","164","95","177","95","1082","1268","36964","158930","29040"
"10708","東區","53","1021","80224","男女合計","214540","1022","881","160","94","84","39","669","865","43146","147284","24110"
"10708","東區","53","1021","80224","男","105531","473","411","76","48","84","39","290","335","22471","72409","10651"
"10708","東區","53","1021","80224","女","109009","549","470","84","46","84","39","379","530","20675","74875","13459"
"10708","北區","45","789","57096","男女合計","151167","693","607","125","81","55","37","748","769","23068","108513","19586"
"10708","北區","45","789","57096","男","73809","332","282","69","47","55","37","348","310","11912","53235","8662"
"10708","北區","45","789","57096","女","77358","361","325","56","34","55","37","400","459","11156","55278","10924"
"10708","香山","24","375","27464","男女合計","78262","381","348","55","37","38","19","600","470","10690","58927","8645"
"10708","香山","24","375","27464","男","39695","167","157","31","22","38","19","297","191","5557","30150","3988"
"10708","香山","24","375","27464","女","38567","214","191","24","15","38","19","303","279","5133","28777","4657"
"10709","新竹市","122","2184","165221","男女合計","444406","1859","1571","327","178","164","77","2019","2113","76915","314930","52561"
"10709","新竹市","122","2184","165221","男","219235","856","721","157","92","164","77","938","842","39907","155916","23412"
"10709","新竹市","122","2184","165221","女","225171","1003","850","170","86","164","77","1081","1271","37008","159014","29149"
"10709","東區","53","1021","80478","男女合計","214812","967","776","159","78","73","28","668","863","43158","147461","24193"
"10709","東區","53","1021","80478","男","105629","444","381","73","38","73","28","290","334","22450","72483","10696"
"10709","東區","53","1021","80478","女","109183","523","395","86","40","73","28","378","529","20708","74978","13497"
"10709","北區","45","788","57237","男女合計","151344","626","504","113","58","56","30","750","780","23109","108540","19695"
"10709","北區","45","788","57237","男","73885","278","221","53","34","56","30","350","315","11913","53263","8709"
"10709","北區","45","788","57237","女","77459","348","283","60","24","56","30","400","465","11196","55277","10986"
"10709","香山","24","375","27506","男女合計","78250","266","291","55","42","35","19","601","470","10648","58929","8673"
"10709","香山","24","375","27506","男","39721","134","119","31","20","35","19","298","193","5544","30170","4007"
"10709","香山","24","375","27506","女","38529","132","172","24","22","35","19","303","277","5104","28759","4666"
"10710","新竹市","122","2182","165264","男女合計","444775","1528","1272","341","228","279","92","2012","2129","76896","315022","52857"
"10710","新竹市","122","2182","165264","男","219393","709","581","173","143","279","92","933","852","39900","155964","23529"
"10710","新竹市","122","2182","165264","女","225382","819","691","168","85","279","92","1079","1277","36996","159058","29328"
"10710","東區","53","1021","80487","男女合計","215079","765","580","178","96","135","35","670","870","43195","147563","24321"
"10710","東區","53","1021","80487","男","105731","348","271","88","63","135","35","289","336","22478","72508","10745"
"10710","東區","53","1021","80487","女","109348","417","309","90","33","135","35","381","534","20717","75055","13576"
"10710","北區","45","786","57248","男女合計","151391","497","459","94","85","86","40","746","786","23056","108540","19795"
"10710","北區","45","786","57248","男","73908","235","205","46","53","86","40","348","322","11882","53274","8752"
"10710","北區","45","786","57248","女","77483","262","254","48","32","86","40","398","464","11174","55266","11043"
"10710","香山","24","375","27529","男女合計","78305","266","233","69","47","58","17","596","473","10645","58919","8741"
"10710","香山","24","375","27529","男","39754","126","105","39","27","58","17","296","194","5540","30182","4032"
"10710","香山","24","375","27529","女","38551","140","128","30","20","58","17","300","279","5105","28737","4709"
"10711","新竹市","122","2182","165379","男女合計","445107","1334","1133","348","217","228","82","2015","2138","76910","315084","53113"
"10711","新竹市","122","2182","165379","男","219547","602","491","175","132","228","82","935","857","39907","156014","23626"
"10711","新竹市","122","2182","165379","女","225560","732","642","173","85","228","82","1080","1281","37003","159070","29487"
"10711","東區","53","1021","80542","男女合計","215276","662","538","175","102","97","32","670","872","43218","147640","24418"
"10711","東區","53","1021","80542","男","105808","303","250","84","60","97","32","289","337","22487","72552","10769"
"10711","東區","53","1021","80542","女","109468","359","288","91","42","97","32","381","535","20731","75088","13649"
"10711","北區","45","786","57292","男女合計","151502","455","366","104","82","80","36","745","795","23069","108522","19911"
"10711","北區","45","786","57292","男","73995","213","131","57","52","80","36","348","326","11898","53286","8811"
"10711","北區","45","786","57292","女","77507","242","235","47","30","80","36","397","469","11171","55236","11100"
"10711","香山","24","375","27545","男女合計","78329","217","229","69","33","51","14","600","471","10623","58922","8784"
"10711","香山","24","375","27545","男","39744","86","110","34","20","51","14","298","194","5522","30176","4046"
"10711","香山","24","375","27545","女","38585","131","119","35","13","51","14","302","277","5101","28746","4738"
"10712","新竹市","122","2182","165639","男女合計","445635","2002","1621","347","200","334","83","2021","2146","77048","315159","53428"
"10712","新竹市","122","2182","165639","男","219846","947","711","177","114","334","83","938","857","40017","156054","23775"
"10712","新竹市","122","2182","165639","女","225789","1055","910","170","86","334","83","1083","1289","37031","159105","29653"
"10712","東區","53","1021","80691","男女合計","215566","1031","806","145","80","147","34","671","879","43301","147730","24535"
"10712","東區","53","1021","80691","男","105954","476","361","74","43","147","34","290","336","22542","72588","10824"
"10712","東區","53","1021","80691","女","109612","555","445","71","37","147","34","381","543","20759","75142","13711"
"10712","北區","45","786","57377","男女合計","151679","672","523","111","83","115","40","750","783","23106","108532","20041"
"10712","北區","45","786","57377","男","74116","337","225","58","49","115","40","351","320","11942","53303","8871"
"10712","北區","45","786","57377","女","77563","335","298","53","34","115","40","399","463","11164","55229","11170"
"10712","香山","24","375","27571","男女合計","78390","299","292","91","37","72","9","600","484","10641","58897","8852"
"10712","香山","24","375","27571","男","39776","134","125","45","22","72","9","297","201","5533","30163","4080"
"10712","香山","24","375","27571","女","38614","165","167","46","15","72","9","303","283","5108","28734","4772"
"10801","新竹市","122","2177","165875","男女合計","445990","1929","1662","356","268","248","84","2034","2143","77104","315200","53686"
"10801","新竹市","122","2177","165875","男","219958","849","733","159","163","248","84","944","856","40038","156037","23883"
"10801","新竹市","122","2177","165875","女","226032","1080","929","197","105","248","84","1090","1287","37066","159163","29803"
"10801","東區","53","1021","80821","男女合計","215897","993","731","174","105","110","23","684","879","43405","147849","24643"
"10801","東區","53","1021","80821","男","106058","433","340","71","60","110","23","294","335","22592","72597","10869"
"10801","東區","53","1021","80821","女","109839","560","391","103","45","110","23","390","544","20813","75252","13774"
"10801","北區","45","781","57456","男女合計","151714","644","590","100","119","81","40","755","780","23093","108488","20133"
"10801","北區","45","781","57456","男","74117","282","258","51","74","81","40","355","319","11941","53271","8905"
"10801","北區","45","781","57456","女","77597","362","332","49","45","81","40","400","461","11152","55217","11228"
"10801","香山","24","375","27598","男女合計","78379","292","341","82","44","57","21","595","484","10606","58863","8910"
"10801","香山","24","375","27598","男","39783","134","135","37","29","57","21","295","202","5505","30169","4109"
"10801","香山","24","375","27598","女","38596","158","206","45","15","57","21","300","282","5101","28694","4801"
"10802","新竹市","122","2177","166034","男女合計","446210","1651","1452","264","243","197","67","2042","2134","77106","315126","53978"
"10802","新竹市","122","2177","166034","男","220055","760","656","131","138","197","67","947","852","40041","155997","24017"
"10802","新竹市","122","2177","166034","女","226155","891","796","133","105","197","67","1095","1282","37065","159129","29961"
"10802","東區","53","1021","80933","男女合計","216125","894","679","119","106","87","21","684","871","43476","147900","24749"
"10802","東區","53","1021","80933","男","106159","423","312","54","64","87","21","294","332","22615","72628","10916"
"10802","東區","53","1021","80933","女","109966","471","367","65","42","87","21","390","539","20861","75272","13833"
"10802","北區","45","781","57497","男女合計","151749","533","478","82","102","79","28","761","777","23065","108431","20253"
"10802","北區","45","781","57497","男","74136","248","215","44","58","79","28","357","318","11925","53255","8956"
"10802","北區","45","781","57497","女","77613","285","263","38","44","79","28","404","459","11140","55176","11297"
"10802","香山","24","375","27604","男女合計","78336","224","295","63","35","31","18","597","486","10565","58795","8976"
"10802","香山","24","375","27604","男","39760","89","129","33","16","31","18","296","202","5501","30114","4145"
"10802","香山","24","375","27604","女","38576","135","166","30","19","31","18","301","284","5064","28681","4831"
"10803","新竹市","122","2177","166210","男女合計","446567","1835","1549","309","238","225","78","2055","2140","77113","315216","54238"
"10803","新竹市","122","2177","166210","男","220219","830","681","158","143","225","78","953","850","40041","156067","24111"
"10803","新竹市","122","2177","166210","女","226348","1005","868","151","95","225","78","1102","1290","37072","159149","30127"
"10803","東區","53","1021","81045","男女合計","216430","957","683","138","107","107","36","687","879","43543","148046","24841"
"10803","東區","53","1021","81045","男","106300","446","315","69","59","107","36","297","333","22644","72708","10948"
"10803","東區","53","1021","81045","女","110130","511","368","69","48","107","36","390","546","20899","75338","13893"
"10803","北區","45","781","57566","男女合計","151828","616","547","105","95","83","27","772","773","23032","108443","20353"
"10803","北區","45","781","57566","男","74159","265","242","60","60","83","27","361","316","11909","53260","8990"
"10803","北區","45","781","57566","女","77669","351","305","45","35","83","27","411","457","11123","55183","11363"
"10803","香山","24","375","27599","男女合計","78309","262","319","66","36","35","15","596","488","10538","58727","9044"
"10803","香山","24","375","27599","男","39760","119","124","29","24","35","15","295","201","5488","30099","4173"
"10803","香山","24","375","27599","女","38549","143","195","37","12","35","15","301","287","5050","28628","4871"
"10804","新竹市","122","2176","166210","男女合計","446701","1783","1736","303","216","132","98","2061","2145","77038","315233","54430"
"10804","新竹市","122","2176","166210","男","220281","818","807","172","121","132","98","956","853","40004","156050","24227"
"10804","新竹市","122","2176","166210","女","226420","965","929","131","95","132","98","1105","1292","37034","159183","30203"
"10804","東區","53","1021","81045","男女合計","216512","885","854","144","93","57","45","688","888","43551","148032","24929"
"10804","東區","53","1021","81045","男","106335","406","402","79","48","57","45","298","337","22647","72684","11004"
"10804","東區","53","1021","81045","女","110177","479","452","65","45","57","45","390","551","20904","75348","13925"
"10804","北區","45","780","57566","男女合計","151845","581","585","107","86","48","36","778","764","22992","108434","20419"
"10804","北區","45","780","57566","男","74169","270","271","59","48","48","36","364","313","11885","53250","9034"
"10804","北區","45","780","57566","女","77676","311","314","48","38","48","36","414","451","11107","55184","11385"
"10804","香山","24","375","27599","男女合計","78344","317","297","52","37","27","17","595","493","10495","58767","9082"
"10804","香山","24","375","27599","男","39777","142","134","34","25","27","17","294","203","5472","30116","4189"
"10804","香山","24","375","27599","女","38567","175","163","18","12","27","17","301","290","5023","28651","4893"
"10805","新竹市","122","2176","166658","男女合計","447081","2256","1973","339","242","236","84","2060","2163","77075","315434","54572"
"10805","新竹市","122","2176","166658","男","220447","1035","901","167","135","236","84","954","863","40048","156102","24297"
"10805","新竹市","122","2176","166658","女","226634","1221","1072","172","107","236","84","1106","1300","37027","159332","30275"
"10805","東區","53","1021","81242","男女合計","216755","1134","968","178","101","99","38","684","893","43600","148159","24996"
"10805","東區","53","1021","81242","男","106463","532","449","94","49","99","38","296","340","22688","72729","11046"
"10805","東區","53","1021","81242","女","110292","602","519","84","52","99","38","388","553","20912","75430","13950"
"10805","北區","45","780","57725","男女合計","152015","771","622","108","87","99","25","778","766","23017","108529","20469"
"10805","北區","45","780","57725","男","74244","351","281","57","52","99","25","362","316","11928","53268","9048"
"10805","北區","45","780","57725","女","77771","420","341","51","35","99","25","416","450","11089","55261","11421"
"10805","香山","24","375","27691","男女合計","78311","351","383","53","54","38","21","598","504","10458","58746","9107"
"10805","香山","24","375","27691","男","39740","152","171","16","34","38","21","296","207","5432","30105","4203"
"10805","香山","24","375","27691","女","38571","199","212","37","20","38","21","302","297","5026","28641","4904"
"10806","新竹市","122","2175","166833","男女合計","447359","1648","1456","295","209","216","85","2064","2169","77047","315603","54709"
"10806","新竹市","122","2175","166833","男","220553","739","674","162","121","216","85","955","866","40019","156187","24347"
"10806","新竹市","122","2175","166833","女","226806","909","782","133","88","216","85","1109","1303","37028","159416","30362"
"10806","東區","53","1020","81331","男女合計","216986","829","666","158","90","106","35","691","886","43640","148289","25057"
"10806","東區","53","1020","81331","男","106554","372","317","84","48","106","35","301","336","22713","72767","11074"
"10806","東區","53","1020","81331","女","110432","457","349","74","42","106","35","390","550","20927","75522","13983"
"10806","北區","45","780","57744","男女合計","152018","523","527","92","85","68","36","769","775","22986","108531","20501"
